,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,38.97191672375392,0.9865148478657499,11.75,7.31144125625,0.6209311629615221,0.6525,0.3768611910016378
topK_30_pos,60.97221465813582,0.6108259710474999,8.0,7.798625544999998,0.36277736558367374,0.445,0.5941431030425908
minmax_pos,70.56555179174897,0.675306525,0.75,9.305824742250001,0.4314861451150594,0.3625,0.3961578571813764
topK_5_pos,88.37459156403605,0.0007892324387499999,3.25,6.940698873500001,0.07918338264343305,0.14,0.8894827952029561
pos_thresh_50,60.36783834173512,1.6102463168824999,4.25,8.5801851235,0.3661319610852965,0.4625,0.5397867224125277
topK_50,50.50107350000108,2.3908890952000004,4.5,9.68412992,0.5255853497382895,0.5475,0.49909988864691357
pos_thresh_25,37.228447186985676,2.903764386575,12.25,7.52818638475,0.5994642601850082,0.685,0.3476081016924213
bin,24.363624561398865,2.3120554258695,19.5,4.9184778235,0.7189009579223427,0.7825,0.19550527759903732
minmax,66.67289374372099,0.7718996149999999,1.25,10.15063416125,0.51396085124362,0.3925,0.335331033443407
topK_5,93.80833287440001,0.0,0.0,7.4030078262500005,0.030627641845598248,0.095,0.9488027926637443
topK_30,71.267326099644,0.8207025767499999,2.25,9.175541585,0.2733944449039788,0.3525,0.6987772418934793
sigmoid,41.57920733451765,0.972570295,2.0,10.373997005000001,0.5031418953934499,0.6775,0.02629064708960822
sigmoid_pos,41.11337706990658,1.2879915635,2.75,9.803655866249999,0.509011221702225,0.6725,0.021327000870975034
pos_thresh_75,83.86225543899249,0.21962742500000001,0.25,7.87270515425,0.1587989791149896,0.22,0.7823977162617891
