,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,50.51104168504012,0.8517900315968001,16.75,6.65801635875,0.6686865532085474,0.5225,0.3430447691484117
topK_30_pos,73.30294843008456,0.0022767135515000003,8.75,7.569021916249999,0.45624580529709874,0.285,0.5767400236030507
minmax_pos,88.1378916034,0.09238501242500002,0.75,9.195823954,0.503737678648512,0.1475,0.4891855765655262
topK_5_pos,90.03760867421249,0.0005373961955000001,3.75,6.899170009750001,0.11851712592399402,0.1,0.8849740006400999
pos_thresh_50,80.00078355514775,0.54686585675,2.0,8.682833047499999,0.4492533122866121,0.235,0.6061971609785615
topK_50,71.618279962555,1.8247347665,3.75,9.68425055,0.6127178633007975,0.3075,0.4990428932931861
pos_thresh_25,59.35719278727438,1.8071579217245,7.75,8.634937307,0.575466212554682,0.435,0.43787112611600065
bin,42.4258380650692,2.4819848513835,13.75,6.83414093975,0.646846152720762,0.595,0.31168050480330406
minmax,78.44691854972001,0.6141140054999998,2.25,10.195314235,0.6657905074002499,0.255,0.30234889072163457
topK_5,96.10228536950001,0.0232249825,0.25,7.39940408,0.09373723291649401,0.0375,0.9489903013651124
topK_30,87.25937205974998,0.11062010750000001,0.5,9.17477476375,0.3933779733095987,0.1425,0.6990176982564398
sigmoid,66.0632120111825,0.27288227475,1.0,10.37128694875,0.586693796273,0.445,0.045033044827697793
sigmoid_pos,63.58936752883999,0.5953929345,2.25,9.90719476,0.59466906232425,0.47,0.024389582194613225
pos_thresh_75,92.96866578075,0.21644021500000002,0.5,7.877564341249999,0.2515650920798872,0.075,0.7994441831814285
