,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,41.20180032003986,0.8955243076011,22.75,5.42307219875,0.614211607261,0.6075,0.27951824302275213
topK_30_pos,56.85118101892811,0.732231975110825,17.75,6.170159279999999,0.5077564581942,0.435,0.4700523364026544
minmax_pos,86.23114168681252,0.9427111075000001,1.75,8.1690243395,0.410125833908551,0.1625,0.4558972638609541
topK_5_pos,78.91074285641244,0.0012323535885,9.75,6.1238680445,0.21679183875097294,0.22,0.7852443546975866
pos_thresh_50,77.53164515457551,1.8950253158934998,6.0,7.416078304749999,0.367671802651426,0.245,0.5785424777009048
topK_50,72.61627845377751,2.5201313564999994,5.5,9.684206600000001,0.5529136900772249,0.2925,0.499064802589008
pos_thresh_25,64.5463110687046,2.52245768507325,9.5,6.74873654175,0.46909472990754225,0.3675,0.42581061492773536
bin,49.57378336423153,2.54793673241475,15.75,5.396175078,0.5262456864065785,0.51,0.2917358224811101
minmax,81.68300571345,1.0968067625,1.75,10.148230342500002,0.545293201544925,0.205,0.3460652136463345
topK_5,94.27990943875,0.0611068725,0.25,7.400621036,0.13489032946463542,0.07,0.9489268368184628
topK_30,83.87395878485,1.21009602525,2.5,9.175246127499998,0.424645590113645,0.1575,0.6988755607998111
sigmoid,67.7938313911375,1.9100960374074998,5.25,10.374391823750003,0.5145487184409,0.3725,0.021900450453625223
sigmoid_pos,66.1163549403475,2.5062717875,5.5,8.92222888375,0.52361794717175,0.38,0.014239850677702805
pos_thresh_75,91.5512303647,0.1392036325,0.5,6.855846516000001,0.22147986502607225,0.1025,0.7440581137909816
