,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,30.218062534835013,5.598554539847501,13.5,9.410669618750001,0.82708556925225,0.75,0.46131102642710475
topK_30_pos,49.493281060018134,4.87008036275,10.0,9.25167543625,0.6237259668492208,0.5425,0.6741790380808415
minmax_pos,60.69776274429913,1.73981702575,4.0,9.736422157500002,0.7571471409975001,0.4375,0.547564841392118
topK_5_pos,72.9732777374925,1.2229723875,2.0,7.87277746925,0.15931521684304745,0.305,0.9137950108909371
pos_thresh_50,57.98410119013903,1.786661067,3.0,8.7866031125,0.4861529316814775,0.4725,0.748972790873542
topK_50,31.117690901124124,6.322731511750001,13.75,9.727269406249999,0.8253450951522501,0.74,0.47654781517003114
pos_thresh_25,35.022267870201674,4.796789239750001,9.75,9.40859651375,0.8029907108005,0.7,0.561653128908665
bin,8.06701959261118,12.3594018798765,28.75,9.53423199375,0.8991829511214999,0.9325,0.20035051557344413
minmax,56.32720858277249,2.500606172,4.75,10.0720248075,0.7888181873125001,0.4825,0.39221290464888214
topK_5,72.9732777374925,1.2229723875,2.0,7.87277746925,0.15931521684304745,0.305,0.9137950108909371
topK_30,49.493281060018134,4.87008036275,10.0,9.25167543625,0.6237259668492208,0.5425,0.6741790380808415
sigmoid,42.37937886645408,0.9547933335000001,2.0,10.37487129875,0.49746999844855,0.6775,0.014309318047362938
sigmoid_pos,42.46847098404208,0.963044809,2.0,10.374927057499999,0.49660229112578747,0.675,0.013036879338983924
pos_thresh_75,68.18917761801255,1.65584754275,3.25,8.18673120075,0.23840636929750184,0.35,0.8618209128619126
