,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,38.06504928011068,9.932482538752426,19.75,8.974500281249998,0.7643699467435,0.655,0.4391421661355441
topK_30_pos,59.581705505345255,8.5909457228825,14.75,9.227537715,0.662887181993475,0.405,0.6729993664888921
minmax_pos,75.04817212434999,4.10458955115,6.75,9.633056051250001,0.699502118217,0.2625,0.6045431365306552
topK_5_pos,82.60579387312501,2.608518670675,4.5,7.84936508,0.27386228507079674,0.205,0.9164208291593471
pos_thresh_50,70.80766031958376,6.915780122174999,10.25,8.659088922,0.52768927716779,0.3175,0.7898543634497063
topK_50,39.70440593147525,12.180873223799999,21.75,9.7285054025,0.7607471689285,0.64,0.4760158325928964
pos_thresh_25,50.68651470614526,10.3989681465,15.5,9.27921649,0.70386462956375,0.5125,0.6276656163133253
bin,16.939316228122788,20.360500355924998,40.0,9.82949341875,0.780193189445,0.8275,0.2910607964442995
minmax,65.27880272337501,6.1027901927500015,10.25,10.106139390000001,0.73019410046425,0.3825,0.36877951517904217
topK_5,82.60579387312501,2.608518670675,4.5,7.84936508,0.27386228507079674,0.205,0.9164208291593471
topK_30,59.82191093034525,8.590932002025,14.5,9.2505492775,0.6629327643934749,0.4025,0.6747241196204343
sigmoid,61.6791002976,1.7097582258249997,4.0,10.374648551249999,0.6001066827101215,0.4975,0.0187228543551259
sigmoid_pos,62.4980174816,1.42801785,2.75,10.37484221125,0.599394355753375,0.48,0.01510104904321494
pos_thresh_75,80.52140398337501,3.795244253175,5.25,8.00495169025,0.3379810915543075,0.2325,0.8894313985656556
