,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,49.75744688570474,3.88470667532,11.0,9.4823509475,0.79887592357785,0.525,0.46567939803836905
topK_30_pos,64.77902689561,2.6848434174999998,6.0,9.252642846250001,0.6769074188161326,0.3875,0.673884471270284
minmax_pos,78.139046104905,0.99204205875,2.0,9.702122144999999,0.7566072582,0.2675,0.5717879392955362
topK_5_pos,84.91272806379999,1.1030095925,2.0,7.8432418805,0.2663197756703854,0.17,0.9174280299172588
pos_thresh_50,73.168008210725,2.51766007075,5.0,8.67693538775,0.5455552700334975,0.3025,0.779319400339242
topK_50,50.98564210374925,4.356549644825,9.75,9.725161694999999,0.7992049060028501,0.515,0.4777924348865766
pos_thresh_25,53.205151223223275,4.3293499371465,10.75,9.2827984425,0.7659743933752501,0.495,0.5991807683811508
bin,21.224098430468867,10.0661866935265,22.75,9.7336050275,0.834632798075,0.8225,0.2096619698873438
minmax,75.5014705246855,0.969162450125,2.5,10.0556308275,0.7728908469,0.275,0.4028390922855192
topK_5,84.91272806379999,1.1030095925,2.0,7.8432418805,0.2663197756703854,0.17,0.9174280299172588
topK_30,64.77902689561,2.6848434174999998,6.0,9.252642846250001,0.6769074188161326,0.3875,0.673884471270284
sigmoid,56.989644708341494,1.93457068375,3.25,10.374776463749999,0.5987013054581,0.5025,0.015791632096329576
sigmoid_pos,57.1454032782925,1.9129793190000002,3.25,10.374840247500002,0.59682231943315,0.505,0.014284788471649379
pos_thresh_75,81.639244441325,1.46884589,2.25,8.071824921500001,0.3313084571022333,0.195,0.8800573959650905
