,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,50.42095512991513,5.5884387281825,15.5,9.111430797499999,0.66130252280125,0.5,0.43684286058921556
topK_30_pos,64.5831691814805,4.11855845539925,10.25,9.14587939125,0.579217826626,0.36,0.6528244151868722
minmax_pos,72.85636058395,2.94455315175,5.5,9.778440171249999,0.6401438986922501,0.2925,0.5184742284311009
topK_5_pos,83.75026504099998,0.9419062782500001,2.5,7.97689691825,0.28750358381923247,0.165,0.905188286583299
pos_thresh_50,67.54001204875,4.26877169675,8.25,8.9391721485,0.54376508791875,0.325,0.7105201243209877
topK_50,53.109298127367495,6.1339809885,13.75,9.745318211250002,0.66223652522625,0.4725,0.46694522752325723
pos_thresh_25,44.673501430345006,8.751906452050001,17.5,9.4323418645,0.6555232394399999,0.555,0.5060511536188522
bin,19.663276651730147,9.1745598184165,34.25,8.035213477500001,0.698812143785,0.8025,0.18783881972903294
minmax,70.803854005385,3.85820174635,7.5,10.0410115175,0.6506507358575,0.3125,0.40416889203091444
topK_5,83.75026504099998,0.9419062782500001,2.5,7.97689691825,0.28750358381923247,0.165,0.905188286583299
topK_30,65.14529211063251,4.3438098709999995,9.75,9.28480106,0.579631525051,0.355,0.6628987949969246
sigmoid,65.8947522028885,3.84904538575,8.0,10.37476452375,0.55713217561675,0.4,0.01598751045152154
sigmoid_pos,65.8217664430825,3.7684153757499996,7.75,10.374837761250001,0.55582805673875,0.3975,0.014469114155808925
pos_thresh_75,77.52512762961251,2.25861122625,5.25,8.40619311875,0.4087775376491925,0.2325,0.833223122321292
