,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,34.22872929530968,0.010820429969000001,17.0,3.3646139,0.92350865325,0.66,0.17374996007335392
topK_30_pos,98.38055023999999,0.0,0.0,9.171495077499998,0.924342201075,0.015,0.7000060330875456
minmax_pos,94.036666513825,0.049571957500000007,0.25,9.02577397725,0.7658160871673,0.0875,0.7895680119135692
topK_5_pos,97.64190226750002,0.0,0.0,7.3802563187500025,0.7605723010680876,0.0225,0.9499732210532611
pos_thresh_50,97.71849264250001,0.17373059999999999,0.25,3.12673676425,0.034040882018027754,0.0175,0.9988182113226444
topK_50,98.35475166,0.0,0.0,9.682342140000001,0.92548790255,0.02,0.4999998851031766
pos_thresh_25,97.161012195,0.32134634250000005,0.5,5.49927817075,0.2665653194314334,0.025,0.9904071576367954
bin,98.36417794,0.0,0.0,9.679417535,0.9254047212000001,0.02,0.5014373226883491
minmax,77.51229964350678,3.1459946125,3.75,10.37200124625,0.8653999157462843,0.27,0.03823753402162699
topK_5,97.64190226750002,0.0,0.0,7.3802563187500025,0.7605723010680876,0.0225,0.9499732210532611
topK_30,98.38055023999999,0.0,0.0,9.171495077499998,0.924342201075,0.015,0.7000060330875456
sigmoid,38.66359751009518,1.5866275934999998,3.5,10.375488315000002,0.494249790894075,0.705,0.0004345998221109055
sigmoid_pos,41.395924817628405,1.1716596,2.5,10.375488755000001,0.45991145565966124,0.6775,0.00021776562896148898
pos_thresh_75,97.389923399,0.0,0.0,1.3307693790000001,0.004156029510719375,0.03,0.9986941452233354
