,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,49.70169221127416,0.0075341628162,19.25,4.962200305,0.79032257264,0.49,0.2562499411153781
topK_30_pos,97.2306554225,0.0,0.0,9.171495342499998,0.788420184225,0.0025,0.7000059551185632
minmax_pos,92.01608949725,0.22876485,0.25,9.143446220000001,0.769024158745,0.0675,0.7747342394409089
topK_5_pos,95.8988390325,0.1551358475,0.5,7.380256286750003,0.6952001059477501,0.0125,0.9499732210532611
pos_thresh_50,97.4877492575,0.20318410325,0.5,3.272373334,0.10702696636948278,0.01,0.9987566108431367
topK_50,96.98330004249999,0.0,0.0,9.682342055000001,0.7895390491150001,0.0025,0.4999998851031766
pos_thresh_25,97.53681305250001,0.46393437499999995,1.0,5.68287455325,0.38612044459432576,0.0075,0.9890989367924676
bin,96.9755551125,0.0,0.0,9.682346716249999,0.7894833557500001,0.0025,0.4999897491222117
minmax,72.55314320425865,7.4014022724999995,10.75,10.371809316250001,0.774517700647625,0.2775,0.04048260959715938
topK_5,95.8988390325,0.1551358475,0.5,7.380256286750003,0.6952001059477501,0.0125,0.9499732210532611
topK_30,97.2306554225,0.0,0.0,9.171495342499998,0.788420184225,0.0025,0.7000059551185632
sigmoid,56.13094388684251,1.9960949887500001,3.5,10.37548817,0.6110139302194324,0.555,0.0005386091466648825
sigmoid_pos,61.36371910456501,1.4168056122500001,3.0,10.37548863,0.5759200089586575,0.5125,0.0002694640690328866
pos_thresh_75,96.98090645749998,0.0,0.0,1.4296248925000001,0.021554078570813526,0.0125,0.998796094054039
