,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,31.04463890952517,0.010742427718500001,27.25,3.0499377500000002,0.8506889841,0.685,0.1574999638075007
topK_30_pos,98.0616263925,0.0,0.0,9.171495094999997,0.8505156079749999,0.0125,0.7000060330875456
minmax_pos,94.06006224781,0.21155197,0.5,9.1243625125,0.7924963407587501,0.0825,0.7769678543801962
topK_5_pos,97.42662447,0.0,0.0,7.380256283750002,0.7668040573110001,0.02,0.9499732210532611
pos_thresh_50,97.245856135,0.212757635,0.5,3.0849811072500004,0.08415181848386073,0.0175,0.9988471459332905
topK_50,98.094112685,0.0,0.0,9.682342082500002,0.8509969252749999,0.0125,0.4999998851031766
pos_thresh_25,96.97525126249998,0.32854733750000004,0.75,5.462470721000001,0.38753039020403823,0.025,0.9907624591927628
bin,98.1024817975,0.0,0.0,9.67869506125,0.8510175595249998,0.0125,0.5018072072388126
minmax,88.13932108762499,2.2954708100000003,3.25,10.37198087375,0.8246373915040001,0.1175,0.038907545854593155
topK_5,97.42662447,0.0,0.0,7.380256283750002,0.7668040573110001,0.02,0.9499732210532611
topK_30,98.0616263925,0.0,0.0,9.171495094999997,0.8505156079749999,0.0125,0.7000060330875456
sigmoid,51.14590188914807,3.4881995362500002,6.0,10.375488148750001,0.5968789304043,0.5725,0.0005174087966263842
sigmoid_pos,54.8387515296255,2.6940248902499997,4.75,10.375488652500001,0.5606155446208351,0.545,0.0002589350146434564
pos_thresh_75,97.02198960999998,0.0,0.0,1.28458665425,0.0236568952809011,0.025,0.9986310928049201
