,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,25.342996224975373,0.009746476869275,32.5,2.4689972499999997,0.7111902648,0.745,0.12749997070131008
topK_30_pos,97.727077045,0.17517528249999997,0.5,9.17149536,0.7132839569500001,0.0225,0.7000059551185632
minmax_pos,92.27927787499999,0.21926834324999997,0.5,9.08502268375,0.692916775825,0.1,0.7835813526757397
topK_5_pos,98.18515277325,0.0,0.0,7.380256281000002,0.6840982138764999,0.0075,0.9499732210532611
pos_thresh_50,96.18247060425,0.23266671950000004,0.5,2.89607366975,0.12466161606312395,0.03,0.9989528627028403
topK_50,97.7230361425,0.14981147749999998,0.5,9.682342085000002,0.71200028471,0.0225,0.4999998851031766
pos_thresh_25,97.14390461525,0.3846392,0.5,5.222683505,0.4012835965534675,0.0175,0.9925388759382465
bin,97.70228693000001,0.15586402,0.5,9.676882572499999,0.7118286638000001,0.0225,0.5027050990906834
minmax,89.096607066415,3.1271261839999998,4.75,10.372436061250001,0.6960119239449125,0.1025,0.035328290344868306
topK_5,98.18515277325,0.0,0.0,7.380256281000002,0.6840982138764999,0.0075,0.9499732210532611
topK_30,97.727077045,0.17517528249999997,0.5,9.17149536,0.7132839569500001,0.0225,0.7000059551185632
sigmoid,59.53088901414265,4.45809498575,8.5,10.37548826875,0.55132034127725,0.475,0.0004609867614821495
sigmoid_pos,62.8395135876225,3.45366225725,7.75,10.375488695,0.52260672736375,0.4375,0.00023096134832438118
pos_thresh_75,96.27468974499999,0.0,0.0,1.169531742,0.03681694595601528,0.0375,0.9985270814367446
