,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.489136,0.0,0.0,9.6823420875,0.927127903775,0.0175,0.4999998851031766
topK_30_pos,98.37669297249998,0.0,0.0,9.171495329999997,0.9203234176500001,0.015,0.7000059551185632
minmax_pos,98.14080570750001,0.0,0.0,9.325663420000001,0.7429413886912997,0.0175,0.7303838289718988
topK_5_pos,97.52915159,0.0,0.0,7.380256293500001,0.6446928822984452,0.0275,0.9499732210532611
pos_thresh_50,97.75346297325,0.19020575,0.25,4.4240304665,0.0593679602995816,0.025,0.9963736889773926
topK_50,98.489136,0.0,0.0,9.6823420875,0.927127903775,0.0175,0.4999998851031766
pos_thresh_25,97.99959146500001,0.0,0.0,7.109132161499999,0.514185673959401,0.02,0.9557561362374056
bin,98.44843202,0.0,0.0,9.704492176250001,0.927022990925,0.015,0.48877850497732694
minmax,93.939058211925,0.0,0.0,10.36669128,0.896360285795,0.08,0.06919346292431605
topK_5,97.52915159,0.0,0.0,7.380256293500001,0.6446928822984452,0.0275,0.9499732210532611
topK_30,98.37669297249998,0.0,0.0,9.171495329999997,0.9203234176500001,0.015,0.7000059551185632
sigmoid,45.85931505895038,0.7060197850000001,1.75,10.37548269375,0.411540764727565,0.635,0.0016004161449640671
sigmoid_pos,45.76567341627369,0.717767443,2.0,10.37548667125,0.41353986173803875,0.6325,0.000816472132912069
pos_thresh_75,97.76797715000001,0.0,0.0,1.9835545547500002,0.0009409384479660247,0.0275,0.9989802739802133
