,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,96.7012073475,6.988887e-07,0.25,9.658136227500002,0.79069658881,0.005,0.4987498853904187
topK_30_pos,97.136149205,0.0,0.0,9.171495392499999,0.7833122073875001,0.005,0.7000059551185632
minmax_pos,97.82028505999999,0.0,0.0,9.333286736249999,0.7534681496225,0.0075,0.7279407209866782
topK_5_pos,95.77859087,0.035973305,0.5,7.380256340250002,0.7317774390014999,0.0225,0.9499732210532611
pos_thresh_50,97.9333034575,0.183802365,0.5,4.24954651925,0.10570226071258976,0.0175,0.9969722229933204
topK_50,96.8300485275,0.0,0.0,9.682342082500002,0.7903426105849999,0.0025,0.4999998851031766
pos_thresh_25,96.38879988500001,0.05632946,0.25,6.98027262825,0.5665617298851042,0.025,0.9616843561911332
bin,96.7671026,0.0,0.0,9.70552357375,0.7901747739875,0.005,0.4882573600118299
minmax,97.0394437825,0.1111713125,0.5,10.367169126250001,0.7886136579750002,0.0175,0.06769484669349903
topK_5,95.77859087,0.035973305,0.5,7.380256340250002,0.7317774390014999,0.0225,0.9499732210532611
topK_30,97.136149205,0.0,0.0,9.171495392499999,0.7833122073875001,0.005,0.7000059551185632
sigmoid,68.3246277977,0.6522206717500001,2.0,10.37548672,0.524772123209625,0.415,0.0010897739388117838
sigmoid_pos,68.18013187574999,0.6573939675,2.0,10.375488005000001,0.52666633162627,0.4225,0.0005586055503976903
pos_thresh_75,97.4334982675,0.0,0.0,1.8398462182499997,0.0038259400994790495,0.02,0.9989166835889972
