,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.11899880749999,0.0,0.0,9.6823420475,0.851706692175,0.0125,0.4999998851031766
topK_30_pos,98.16986745999999,0.0,0.0,9.171495375,0.8485576986250001,0.0125,0.7000059551185632
minmax_pos,98.41728297750002,0.0,0.0,9.356941536249998,0.8274025001975,0.015,0.721624610165745
topK_5_pos,97.57300487500001,0.0,0.0,7.380256293000002,0.8249627340462502,0.02,0.9499732210532611
pos_thresh_50,97.48273695,0.0,0.0,4.24823656825,0.0943487230449802,0.015,0.9968743771940755
topK_50,98.11899880749999,0.0,0.0,9.6823420475,0.851706692175,0.0125,0.4999998851031766
pos_thresh_25,98.33916132249999,0.0,0.0,7.0973255425,0.73698629235279,0.0025,0.9571527800110076
bin,98.1079015775,0.0,0.0,9.707996205,0.851761947275,0.0125,0.48698755644524355
minmax,97.17915003750001,0.0,0.0,10.36733882625,0.8444021895,0.0325,0.06683712749444058
topK_5,97.57300487500001,0.0,0.0,7.380256293000002,0.8249627340462502,0.02,0.9499732210532611
topK_30,98.16986745999999,0.0,0.0,9.171495375,0.8485576986250001,0.0125,0.7000059551185632
sigmoid,61.328933304155,1.742737965,3.0,10.375487202499999,0.506164129944805,0.4875,0.0010074313615740587
sigmoid_pos,61.11784371684825,1.7606541429999998,3.25,10.3754883475,0.5076420440536026,0.4875,0.000519080506290911
pos_thresh_75,97.19528964749999,0.0,0.0,1.8675009925000001,0.00250187366491755,0.0175,0.9989524629158874
