,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,97.82508020750001,0.244811465,0.75,9.682342112500002,0.7118900638675001,0.0225,0.4999998851031766
topK_30_pos,97.84173270250001,0.23959291750000003,0.75,9.171495092499999,0.7120491275149999,0.0225,0.7000060330875456
minmax_pos,97.69410121425,0.13359026999999998,0.25,9.358230356249999,0.7032787585625,0.0125,0.7214086957380431
topK_5_pos,97.19032914249999,0.1426313675,0.25,7.380256291000003,0.6979794037742499,0.01,0.9499732210532611
pos_thresh_50,96.78666648000001,0.41472327750000004,1.0,4.4629221580000005,0.1530128331390315,0.0375,0.996067500234837
topK_50,97.82508020750001,0.244811465,0.75,9.682342112500002,0.7118900638675001,0.0225,0.4999998851031766
pos_thresh_25,97.28018639,0.0,0.0,7.272438720499999,0.6726069479081499,0.0075,0.949855402787447
bin,97.83337362499998,0.24828461500000004,0.75,9.704824185,0.711993648225,0.0225,0.4886199159885851
minmax,97.210558265,0.0,0.0,10.363955263749999,0.7076744165825,0.0175,0.08125950232690013
topK_5,97.19032914249999,0.1426313675,0.25,7.380256291000003,0.6979794037742499,0.01,0.9499732210532611
topK_30,97.84173270250001,0.23959291750000003,0.75,9.171495092499999,0.7120491275149999,0.0225,0.7000060330875456
sigmoid,69.050047784735,1.9955125879500002,5.0,10.375487,0.4796921149935,0.38,0.0010587365477477979
sigmoid_pos,68.71389928557501,1.980919486875,5.0,10.375488255,0.479328399244875,0.3825,0.0005426126036041062
pos_thresh_75,96.93556927499999,0.0,0.0,1.8938059345000002,0.014333219840684926,0.035,0.998922477093073
