,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,31.07500035052535,0.217910438184445,24.75,4.771011828750001,0.7245792059318751,0.7025,0.2249739477731443
topK_30_pos,50.72612561658947,0.21906887929119498,16.25,6.3828479300000005,0.57252943768298,0.5175,0.4427207413715836
minmax_pos,90.74400300349998,0.08775705875,0.5,9.34653291925,0.32023013861987265,0.1,0.6101003115066616
topK_5_pos,84.38434727331241,0.071147589470945,6.25,7.3040134725,0.19103050762612103,0.1575,0.8359777443273098
pos_thresh_50,89.26312623707,0.207936725,0.25,8.49236859975,0.266585855784307,0.1175,0.7623839867444476
topK_50,59.86185813322099,1.1528643269999999,4.0,10.60225654375,0.5858382082586411,0.4375,0.49993809701445313
pos_thresh_25,73.9243763768365,0.9735283025,2.25,9.142810768750001,0.39851104767475404,0.2675,0.6009276434767898
bin,54.1200876179059,1.070761805900525,7.5,8.47507988775,0.4745947953413592,0.4975,0.4514374140239653
minmax,75.69439089081999,0.5209947872499999,1.75,11.139093915,0.567455513319575,0.2625,0.2954664301737232
topK_5,95.87729505749999,0.0701544675,0.25,8.3000388825,0.11476435342663702,0.04,0.9499735285187247
topK_30,76.8592054723375,0.6947556275,1.5,10.091460895,0.42548138033363003,0.2725,0.6999532310195085
sigmoid,80.0172022383685,0.74717371,1.75,11.2948904875,0.6349571860961776,0.19,0.014194475874540346
sigmoid_pos,79.1459996070035,0.77820609375,2.25,10.504438352500001,0.645252652644495,0.205,0.00743064384203324
pos_thresh_75,95.17644133259999,0.0,0.0,7.3292545022499995,0.10179263246682335,0.05,0.8798052408736413
