,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,55.33110615286487,8.68137670983575,16.75,10.1640761575,0.765313741745,0.4525,0.4724113131758722
topK_30_pos,67.192279615995,5.252163135,10.0,10.1186956775,0.6941554480289411,0.3375,0.6915933856730697
minmax_pos,84.30340362013,0.3819017382,1.0,10.52768762,0.63358544439945,0.18,0.6213400538819637
topK_5_pos,89.71889181124999,0.1352463375,0.75,8.52774790125,0.2501397904935757,0.135,0.9365237707668399
pos_thresh_50,84.28678589248648,0.35632261249999997,0.75,9.1009056985,0.431767286898015,0.1825,0.8683350073001808
topK_50,57.74647023522475,9.09366048135,15.5,10.6153353225,0.7644482867950001,0.4275,0.49332241212524736
pos_thresh_25,68.592485173595,2.65005755075,5.75,9.98610149875,0.6765611183244999,0.335,0.6970206510570714
bin,32.02867870639348,14.20545533625,26.0,10.9316192575,0.79028511275,0.685,0.2726670537291102
minmax,77.52234207632,1.5615528075,3.0,11.105057953750002,0.6850444124135001,0.2375,0.31161737017473773
topK_5,89.71889181124999,0.1352463375,0.75,8.52774790125,0.2501397904935757,0.135,0.9365237707668399
topK_30,67.192279615995,5.252163135,10.0,10.1186956775,0.6941554480289411,0.3375,0.6915933856730697
sigmoid,78.297433163761,0.8755697525000001,2.5,11.295109648750001,0.6477752158378425,0.2175,0.007533419461192734
sigmoid_pos,78.27100137958925,0.8785644399999998,2.5,11.295134262500001,0.6485294444872974,0.2225,0.00634823644258417
pos_thresh_75,90.82114296150002,0.078971425,0.25,8.26531785075,0.2131450715651735,0.1225,0.9431294767326952
