,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,48.376073636066195,0.005356929325725,21.25,5.221556235,0.8042431078750001,0.515,0.24624689564953683
topK_30_pos,96.61781278999999,0.6951369392500001,1.0,10.091335140000002,0.7759709936825,0.03,0.6999910848103684
minmax_pos,94.49225520749998,0.3747008625,1.25,9.99783318375,0.79390510393875,0.045,0.7831339451417934
topK_5_pos,96.63266213949998,0.57924281,0.75,8.299783067500002,0.617889282875565,0.03,0.9499863635163409
pos_thresh_50,96.45391284749999,0.2538792875,0.5,3.67717205475,0.031167359230161625,0.03,0.9990091607839687
topK_50,96.39107775324999,0.431110035,0.5,10.602144632499998,0.791539750325,0.0275,0.4999936967503285
pos_thresh_25,95.72033538699999,0.17788564625,1.25,6.32737790875,0.2190406486274585,0.04,0.9911200864301489
bin,96.4205571995,0.43091499,0.5,10.60155051875,0.7912813670400002,0.0275,0.5002739641591064
minmax,66.19669346901925,6.28653500325,10.0,11.29200789125,0.7881648333575001,0.3425,0.03813817832760473
topK_5,96.63266213949998,0.57924281,0.75,8.299783067500002,0.617889282875565,0.03,0.9499863635163409
topK_30,96.61781278999999,0.6951369392500001,1.0,10.091335140000002,0.7759709936825,0.03,0.6999910848103684
sigmoid,79.32666964290074,0.8380006277500001,2.5,11.2952793125,0.6434687026668325,0.2025,0.00014187510129211108
sigmoid_pos,79.56516712690825,0.7505991925000001,2.0,11.295279269999998,0.6414004639112137,0.1975,7.102454978841739e-05
pos_thresh_75,97.2680399425,0.0,0.0,1.6251560365,0.0066630726995961995,0.01,0.9977412459512953
