,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,88.001431710333,0.377865687674825,3.75,9.5154247525,0.8021365078325,0.1175,0.44874434283341985
topK_30_pos,97.37850821,0.38710176250000006,0.5,10.091335155000001,0.7639059245225001,0.0275,0.6999910848103684
minmax_pos,96.69668132499999,0.0265316275,0.25,10.238195345,0.4553308841590914,0.02,0.733022862957456
topK_5_pos,96.5347422975,0.03007187,0.25,8.299783062500001,0.4449953138515717,0.0175,0.9499863635163409
pos_thresh_50,97.54877414750001,0.16949805775,0.75,4.935395837,0.04283245325037255,0.01,0.9975826331680867
topK_50,97.53050992025001,0.37700630250000006,0.5,10.60214458,0.7971983184524999,0.02,0.4999936967503285
pos_thresh_25,97.01499393750001,0.0,0.0,7.850671017,0.325834589506926,0.02,0.963613695084532
bin,97.48811345074999,0.37629453749999997,0.5,10.6189630675,0.7963409913299999,0.02,0.49145694615927654
minmax,92.4992001623165,0.5925831975,1.25,11.285742246249999,0.7581637885560375,0.085,0.0727347119727469
topK_5,96.5347422975,0.03007187,0.25,8.299783062500001,0.4449953138515717,0.0175,0.9499863635163409
topK_30,97.37850821,0.38710176250000006,0.5,10.091335155000001,0.7639059245225001,0.0275,0.6999910848103684
sigmoid,79.90898121621376,0.67689876325,2.0,11.295278743749998,0.638561236244175,0.19,0.0005690969776442592
sigmoid_pos,79.869016233125,0.6795036369999999,2.0,11.295279125,0.63885268864463,0.1925,0.0002908056438641325
pos_thresh_75,97.66008489,0.015382162500000001,0.25,2.1561332909999997,0.000926377298669725,0.0125,0.9982918553614923
