,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,48.13854266776315,0.0031934286592592595,21.296296296296298,5.021529847222222,0.5424730677314814,0.5185185185185185,0.25872929908861725
topK_30_pos,68.37683621211389,0.0017931393583333333,13.88888888888889,6.456412125000001,0.44358440773333335,0.3148148148148148,0.4918743255206464
minmax_pos,96.93314903703704,0.0,0.0,8.255619306481481,0.361610841764137,0.0,0.4845539096584223
topK_5_pos,82.78732403650926,0.0015155287842592592,10.185185185185185,6.233452825925927,0.1522984713237037,0.1574074074074074,0.7996760418984005
pos_thresh_50,93.64973343518517,0.15025772222222222,1.8518518518518519,7.760991878703704,0.3330306924233963,0.046296296296296294,0.5951920267309249
topK_50,86.93634116018517,0.30636768425925925,2.7777777777777777,9.684170800925926,0.4597313197055556,0.08333333333333333,0.4990824495780097
pos_thresh_25,84.7253224074074,0.7160998401851851,4.62962962962963,8.072776692592592,0.37302868002802586,0.10185185185185185,0.4412729507434455
bin,65.38057000931083,1.2385872734722223,12.037037037037036,6.4757341888888895,0.4004040282317297,0.3148148148148148,0.33011775885093647
minmax,86.84502215740741,0.3842601296296297,3.7037037037037037,10.210430305555557,0.5111070417657407,0.10185185185185185,0.28976675862503165
topK_5,97.81511606481482,0.0,0.0,7.399316254629631,0.09446898007370369,0.0,0.9489937346886971
topK_30,94.41530766666666,0.0,0.0,9.175221212962962,0.32169700136296303,0.037037037037037035,0.6988827021804717
sigmoid,86.52090449074075,0.020245841666666667,0.9259259259259259,10.37270363425926,0.4958148563518519,0.12037037037037036,0.03635300123876631
sigmoid_pos,85.21150404629631,0.2582863888888889,0.9259259259259259,9.029963875,0.5035157421296297,0.12962962962962962,0.0143719926940772
pos_thresh_75,97.72116910185186,0.0,0.0,7.067124140740741,0.228516187640063,0.0,0.744340902705318
