,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,47.881077618323346,1.729626214967742,14.516129032258064,5.466666258064517,0.5240862204354839,0.5483870967741935,0.2818430032330233
topK_30_pos,63.49151807093625,0.0043298065,6.451612903225806,6.214971104838709,0.44130972427903226,0.3548387096774194,0.4735879681710596
minmax_pos,89.66840661290321,0.0,0.0,8.06113148548387,0.21017992521959772,0.04838709677419355,0.4124856799811746
topK_5_pos,78.99684952780143,0.0012589760161290323,3.225806451612903,6.090757974193549,0.18165939038258064,0.1774193548387097,0.7804089826291969
pos_thresh_50,86.06063368064515,0.9157648225806451,3.225806451612903,7.528793730645161,0.2661771908244364,0.16129032258064516,0.5421872702866318
topK_50,77.21175074112902,3.357037951612903,6.451612903225806,9.683973282258062,0.45210891754838706,0.24193548387096775,0.4991824679084796
pos_thresh_25,65.93177897838709,4.578315183532258,12.903225806451612,7.132841364516128,0.37228568588250094,0.3870967741935484,0.36663189056073003
bin,52.54940949720355,0.9553102668951613,16.129032258064516,5.182204258064517,0.4165196648825009,0.46774193548387094,0.25841043134422415
minmax,82.82636697258064,1.966950241935484,3.225806451612903,10.211785258064516,0.39670304579032256,0.12903225806451613,0.29910487225749766
topK_5,95.41339004838709,0.0,0.0,7.404020412903226,0.1013648439632258,0.016129032258064516,0.9487544336165776
topK_30,88.17470382032259,0.0,0.0,9.175359258064518,0.34861979482903227,0.12903225806451613,0.6988395164894902
sigmoid,76.25459546129034,4.0380836161290325,8.064516129032258,10.37509851612903,0.47142529325322585,0.1935483870967742,0.013650968002841114
sigmoid_pos,75.65828488709677,3.95676484,8.064516129032258,8.701825862903226,0.4771936642354839,0.1935483870967742,0.007897865384316931
pos_thresh_75,95.16853635483871,0.0,0.0,6.687169008064517,0.12691240673766227,0.03225806451612903,0.7365825090003247
