,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,43.70399291036856,0.04198751853727272,23.076923076923077,4.740471493006993,0.5277892844755244,0.5734265734265734,0.2443222695913498
topK_30_pos,53.87222738045108,0.20092657008412587,19.58041958041958,5.325379993006993,0.47082935162937056,0.4405594405594406,0.4056747647200506
minmax_pos,89.03124061468532,0.6606797202797202,0.6993006993006993,7.249464502097902,0.3120289465102168,0.11188811188811189,0.41056354387703525
topK_5_pos,70.94380342247551,0.001496370293006993,15.384615384615385,5.433881731468532,0.26064717484335664,0.27972027972027974,0.696770133481481
pos_thresh_50,86.42845166877972,0.766966871986014,3.4965034965034967,6.638330061538461,0.29290177460322375,0.1258741258741259,0.5071817979493417
topK_50,85.8814680876923,0.42238455664335667,2.097902097902098,9.68419065034965,0.48277633456783214,0.13286713286713286,0.499072980612969
pos_thresh_25,73.8077874875237,0.754003228944056,4.895104895104895,5.993557104895105,0.3421824265955315,0.25874125874125875,0.37661057810220694
bin,61.73293821942392,0.2502949206923077,10.48951048951049,4.837635886013986,0.3753226975151119,0.35664335664335667,0.2798289415446762
minmax,82.44556547342658,1.6746148951048951,2.097902097902098,10.188288262237764,0.47000483053846154,0.17482517482517482,0.3174650602216742
topK_5,95.26743426573427,0.0,0.0,7.4017090146853155,0.15146950027482517,0.027972027972027972,0.9488690451956525
topK_30,91.53851660699301,0.23131652447552448,1.3986013986013985,9.175389986013988,0.41045439936363637,0.03496503496503497,0.6988318092946773
sigmoid,78.09802635244756,1.5446340626783217,5.594405594405594,10.375029650349651,0.45802438972027965,0.21678321678321677,0.014552779933578373
sigmoid_pos,76.95703965804195,2.1489535034965033,5.594405594405594,7.980913849650351,0.4640465822307692,0.2097902097902098,0.007808604535599356
pos_thresh_75,94.2533405034965,0.0,0.0,6.103835032867132,0.2156746247263007,0.04195804195804196,0.6598887532025147
