,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,59.86796878422935,2.945437261773796,12.037037037037036,8.464202990740741,0.5520989038703703,0.3333333333333333,0.41603069417717303
topK_30_pos,78.77434436111109,2.7837419985462963,9.25925925925926,9.154943958333334,0.47758711781018515,0.1574074074074074,0.6717867410059549
minmax_pos,88.78604043333334,0.5777262685185186,2.7777777777777777,9.638390175925927,0.4612211799351852,0.06481481481481481,0.6004806966014834
topK_5_pos,88.60735998148147,0.9363902617592593,3.7037037037037037,7.790246403703703,0.25332262321296295,0.09259259259259259,0.9212768606311008
pos_thresh_50,84.41721525925925,1.9074733321296296,7.407407407407407,8.63336594537037,0.4056830702653703,0.10185185185185185,0.7920241758167406
topK_50,62.764682217592586,6.381569843518519,16.666666666666668,9.724553319444443,0.539815528037037,0.3055555555555556,0.4781460331225762
pos_thresh_25,74.24710854074075,3.9735552407407404,8.333333333333334,9.301388582407409,0.47735728643981484,0.17592592592592593,0.6197980865895516
bin,30.69981768306481,14.12745868537963,41.666666666666664,9.688292537037036,0.5408678948518519,0.6388888888888888,0.30965291775354575
minmax,76.23386248055557,2.465027608333333,8.333333333333334,10.162066416666669,0.5053318886666667,0.16666666666666666,0.3310292474409107
topK_5,88.60735998148147,0.9363902617592593,3.7037037037037037,7.790246403703703,0.25332262321296295,0.09259259259259259,0.9212768606311008
topK_30,79.66399408333334,2.7836911805555555,8.333333333333334,9.240171967592593,0.4777559415138889,0.14814814814814814,0.6781747155672228
sigmoid,81.60319815740742,0.8608870314814814,2.7777777777777777,10.375041407407409,0.5100380349629631,0.21296296296296297,0.013911077543006013
sigmoid_pos,82.0666867564815,0.6672297592592592,0.9259259259259259,10.375196046296297,0.5113310387407408,0.2037037037037037,0.010233317058336489
pos_thresh_75,86.80144973361111,1.4430326691666666,3.7037037037037037,7.948659101851852,0.3016550199074074,0.10185185185185185,0.8919743540732077
