,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,68.1746091614871,4.010941258564516,16.129032258064516,8.944736354838708,0.5981569738709677,0.25806451612903225,0.43727957885774615
topK_30_pos,79.01335825806453,5.307323551612903,11.290322580645162,9.254410806451615,0.5520255807419355,0.20967741935483872,0.6729709130575038
minmax_pos,85.82835941612903,1.5017555403225809,4.838709677419355,9.718355919354842,0.5860122956451613,0.14516129032258066,0.5640323986896582
topK_5_pos,87.75760093548388,3.517751016129032,6.451612903225806,7.809207774193548,0.2436953801645161,0.11290322580645161,0.920267121052461
pos_thresh_50,81.39674890322578,3.9814753112903225,9.67741935483871,8.819948533870969,0.500112969032258,0.1774193548387097,0.7564297353983301
topK_50,71.71375958387095,6.746738838709678,12.903225806451612,9.72878467741935,0.5991694612903224,0.22580645161290322,0.4759411584490462
pos_thresh_25,70.64652699193547,6.925736258064515,14.516129032258064,9.331662283870966,0.5898219183870969,0.25806451612903225,0.5886289240220718
bin,35.57417750185484,15.933544379951613,32.25806451612903,9.736180177419353,0.6127562451612902,0.6774193548387096,0.24289219772921536
minmax,83.56391943548385,0.5141781774193548,3.225806451612903,10.144160322580642,0.6059092584999999,0.16129032258064516,0.34768433377761804
topK_5,87.75760093548388,3.517751016129032,6.451612903225806,7.809207774193548,0.2436953801645161,0.11290322580645161,0.920267121052461
topK_30,79.01335825806453,5.307323551612903,11.290322580645162,9.254410806451615,0.5520255807419355,0.20967741935483872,0.6729709130575038
sigmoid,75.18248889999998,3.33339489516129,6.451612903225806,10.375192596774195,0.4858385980209678,0.22580645161290322,0.010526405034619667
sigmoid_pos,75.0091093435484,3.22546094516129,6.451612903225806,10.37525433064516,0.484340377383871,0.22580645161290322,0.008700868330447255
pos_thresh_75,84.3029647983871,4.263065516129033,6.451612903225806,8.065117117741934,0.31348183251129025,0.11290322580645161,0.8820110659248545
