,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,71.11528040527972,2.920284752786713,8.391608391608392,9.402612776223776,0.5312575916818181,0.26573426573426573,0.4516817660621036
topK_30_pos,79.01814767902098,3.182139074125874,7.6923076923076925,9.285818174825174,0.47630234013286715,0.18181818181818182,0.6626408916734104
minmax_pos,82.61661687412587,1.831687832167832,3.4965034965034967,9.903039286713287,0.5287274146062936,0.18181818181818182,0.46441409165163894
topK_5_pos,89.07844193706293,0.44211015594405595,3.4965034965034967,8.009617475524475,0.24217472182797206,0.07692307692307693,0.9021972420337293
pos_thresh_50,79.82490893356643,2.848786027972028,7.6923076923076925,9.091065860839164,0.4678360451888112,0.17482517482517482,0.6694850090534226
topK_50,73.16802784356642,2.9891949181818185,6.993006993006993,9.744483454545456,0.5312615869965034,0.24475524475524477,0.46738636756416424
pos_thresh_25,55.13166898824826,5.132579822377622,14.685314685314685,9.59593702797203,0.5296508719300699,0.40559440559440557,0.43746038977382135
bin,25.762145958088528,5.062038750886014,31.46853146853147,7.214636286713287,0.5501916582517482,0.7062937062937062,0.15126409835739926
minmax,81.6923764993007,1.8357721048951048,3.4965034965034967,10.112178377622376,0.5399212192307692,0.16783216783216784,0.3658701859528665
topK_5,89.07844193706293,0.44211015594405595,3.4965034965034967,8.009617475524475,0.24217472182797206,0.07692307692307693,0.9021972420337293
topK_30,79.01814767902098,3.182139074125874,7.6923076923076925,9.285818174825174,0.47630234013286715,0.18181818181818182,0.6626408916734104
sigmoid,78.33337382237762,2.4955022678321677,6.993006993006993,10.37514294055944,0.48587019365734263,0.17482517482517482,0.011643819444766399
sigmoid_pos,78.04923673636364,2.3016796034965035,6.993006993006993,10.375188412587411,0.4847061928671328,0.17482517482517482,0.010453292119663981
pos_thresh_75,85.89350104335665,1.3429913587412587,4.895104895104895,8.488603349650349,0.3782753256937063,0.11188811188811189,0.8156856628439065
