,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,51.00532832224275,0.006969825854838709,24.193548387096776,4.997337806451612,0.614770605967742,0.4838709677419355,0.2580644568274461
topK_30_pos,97.43637929032258,0.0,0.0,9.171495080645167,0.6142307435483872,0.0,0.7000060330875459
minmax_pos,93.98404432258066,0.1374415806451613,1.6129032258064515,9.124276798387097,0.5814681635483872,0.06451612903225806,0.7766276925220245
topK_5_pos,97.64459575806451,0.0,0.0,7.3802562532258085,0.5633315199999999,0.0,0.9499732210532613
pos_thresh_50,95.531554,0.45240370967741933,1.6129032258064515,3.1748086112903224,0.09704438090483872,0.016129032258064516,0.9988005672885649
topK_50,97.6499933548387,0.0,0.0,9.682342016129027,0.6186446941935485,0.0,0.49999988510317667
pos_thresh_25,94.23514783870971,1.5396246290322582,3.225806451612903,5.533747943548387,0.3095501799516129,0.04838709677419355,0.9902847283498941
bin,97.68533622580647,0.0,0.0,9.682170201612903,0.6187503838709678,0.0,0.500072320828672
minmax,91.34223375274193,0.0,0.0,10.371979870967744,0.609805829032258,0.04838709677419355,0.03870091061095814
topK_5,97.64459575806451,0.0,0.0,7.3802562532258085,0.5633315199999999,0.0,0.9499732210532613
topK_30,97.43637929032258,0.0,0.0,9.171495080645167,0.6142307435483872,0.0,0.7000060330875459
sigmoid,68.38959861935483,7.1281798709677435,12.903225806451612,10.375488306451617,0.5038270752903226,0.25806451612903225,0.0004746532995880678
sigmoid_pos,71.85400722580646,4.782863258064516,9.67741935483871,10.375488790322583,0.49205679343548386,0.25806451612903225,0.00023740501976603315
pos_thresh_75,94.64653443548389,0.0,0.0,1.338884308064516,0.04886547569370968,0.06451612903225806,0.998687480642735
