,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,29.84586378719842,0.00542114262027972,29.37062937062937,2.911473545454546,0.562327858951049,0.6993006993006993,0.15034961580025596
topK_30_pos,97.70760197202797,0.3563308741258741,0.6993006993006993,9.171495132867136,0.56477944986014,0.013986013986013986,0.7000060330875457
minmax_pos,92.87019873426573,0.5985436083916084,0.6993006993006993,9.1149133006993,0.5447439663636364,0.04895104895104895,0.7777129825190083
topK_5_pos,98.88948243356644,0.0,0.0,7.38025628741259,0.5413426877412587,0.0,0.9499732210532609
pos_thresh_50,95.9967806083916,0.6469744055944057,0.6993006993006993,2.951014851048951,0.09284314221188811,0.027972027972027972,0.9989458480343534
topK_50,97.79664724475525,0.28931839160839157,0.6993006993006993,9.682342090909088,0.5670252534965035,0.013986013986013986,0.4999998851031769
pos_thresh_25,97.51962082517483,0.6465702797202797,0.6993006993006993,5.303780236363637,0.29640716087342656,0.013986013986013986,0.9921368048059929
bin,97.76020955244755,0.2858799510489511,0.6993006993006993,9.67799508041958,0.5667959881118881,0.013986013986013986,0.5021537930176224
minmax,89.1774552972028,3.142359927272727,5.594405594405594,10.37237166083916,0.561390532027972,0.0979020979020979,0.03628802915101294
topK_5,98.88948243356644,0.0,0.0,7.38025628741259,0.5413426877412587,0.0,0.9499732210532609
topK_30,97.70760197202797,0.3563308741258741,0.6993006993006993,9.171495132867136,0.56477944986014,0.013986013986013986,0.7000060330875457
sigmoid,72.46222078951048,3.6571164552447555,9.79020979020979,10.375488405594409,0.49082611803496506,0.2727272727272727,0.00039989108192052514
sigmoid_pos,74.78843157342656,2.547579288111888,9.79020979020979,10.375488755244756,0.47679743971958044,0.24475524475524477,0.0002003006623482159
pos_thresh_75,95.08309243356643,0.0,0.0,1.2083819244755245,0.03221441324265735,0.04195804195804196,0.9985911074620629
