,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.51230841935484,0.0,0.0,9.682342129032259,0.6738629061290323,0.0,0.4999998851031769
topK_30_pos,98.39375209677421,0.0,0.0,9.171494999999998,0.6560455996774193,0.0,0.700006033087546
minmax_pos,96.6479262903226,0.0,0.0,9.340533758064515,0.5780869799999999,0.0,0.726614749187228
topK_5_pos,97.16432400000001,0.0,0.0,7.380256206451612,0.45942047208970005,0.03225806451612903,0.9499732210532617
pos_thresh_50,94.8863443548387,2.454267741935484,3.225806451612903,4.380559000000001,0.09495042575132581,0.06451612903225806,0.9963026384270195
topK_50,98.51230841935484,0.0,0.0,9.682342129032259,0.6738629061290323,0.0,0.4999998851031769
pos_thresh_25,97.08797993548387,0.0,0.0,7.191464241935483,0.39729405203486123,0.03225806451612903,0.9534189280406157
bin,98.42714280645163,0.0,0.0,9.708334967741935,0.6740682570967743,0.0,0.4867904230577604
minmax,94.84322253870968,0.0,0.0,10.36637551612903,0.6603651514516129,0.03225806451612903,0.07104077585854836
topK_5,97.16432400000001,0.0,0.0,7.380256206451612,0.45942047208970005,0.03225806451612903,0.9499732210532617
topK_30,98.39375209677421,0.0,0.0,9.171494999999998,0.6560455996774193,0.0,0.700006033087546
sigmoid,79.19069954838712,0.0,0.0,10.375480161290328,0.5195640658064516,0.1935483870967742,0.0018291683081618681
sigmoid_pos,78.98947680645162,0.0,0.0,10.375485806451614,0.520111955483871,0.1935483870967742,0.0009337085379229225
pos_thresh_75,94.43795596774194,0.0,0.0,1.952700874193548,-0.006999844020277419,0.06451612903225806,0.9989261701441928
