,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,92.61376569444444,2.5884766666666667e-06,0.9259259259259259,9.592690694444444,0.5462956455,0.009259259259259259,0.49537025653740663
topK_30_pos,94.370076,0.0,0.0,9.171496111111113,0.5337494018055556,0.0,0.7000057443135363
minmax_pos,97.15116841666668,0.0,0.0,9.316748574074074,0.5404826826574074,0.0,0.7325405056311413
topK_5_pos,93.63391687037037,0.09084430555555556,0.9259259259259259,7.380256368518521,0.5125129873925925,0.018518518518518517,0.9499732210532609
pos_thresh_50,97.77871509259259,0.0,0.0,4.5090290407407405,0.09859959138796295,0.0,0.9963389657314319
topK_50,93.09095525,0.0,0.0,9.682342009259262,0.544984615037037,0.0,0.4999998851031768
pos_thresh_25,96.2719560925926,0.0,0.0,7.042575973148147,0.3905588850546296,0.0,0.9598821873886627
bin,93.00598687962965,0.0,0.0,9.704094824074074,0.544845270787037,0.0,0.4889874821873941
minmax,96.57494686111113,0.04606856481481482,0.9259259259259259,10.367884310185188,0.5611974857407408,0.018518518518518517,0.06427915859330774
topK_5,93.63391687037037,0.09084430555555556,0.9259259259259259,7.380256368518521,0.5125129873925925,0.018518518518518517,0.9499732210532609
topK_30,94.370076,0.0,0.0,9.171496111111113,0.5337494018055556,0.0,0.7000057443135363
sigmoid,86.16774975925927,0.29961716666666666,0.9259259259259259,10.375486555555554,0.4951743377777778,0.1388888888888889,0.0011268256380223016
sigmoid_pos,86.10445055555554,0.28811039814814815,0.9259259259259259,10.375487777777778,0.49628132375,0.12962962962962962,0.0005754348390619018
pos_thresh_75,96.21234892592594,0.0,0.0,2.0337465944444446,-0.013821427489444442,0.0,0.9989684736263228
