,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.01809244055944,0.3545913286713287,0.6993006993006993,9.68234206293706,0.567293736993007,0.013986013986013986,0.4999998851031769
topK_30_pos,97.9981297972028,0.3752422377622378,0.6993006993006993,9.171495139860141,0.5648089036083915,0.013986013986013986,0.7000060330875457
minmax_pos,98.75903758041959,0.0,0.0,9.363519111888113,0.5661320684265734,0.0,0.7198405148909508
topK_5_pos,97.23507713986012,0.0,0.0,7.380256253846157,0.5705687791608393,0.0,0.9499732210532609
pos_thresh_50,96.75396566433567,0.5922278321678321,1.3986013986013985,4.6727938230769235,0.16098672756979024,0.02097902097902098,0.9951668532188178
topK_50,98.01809244055944,0.3545913286713287,0.6993006993006993,9.68234206293706,0.567293736993007,0.013986013986013986,0.4999998851031769
pos_thresh_25,97.37437410489511,0.0,0.0,7.394243757342656,0.5487916007692307,0.0,0.9434394912261366
bin,97.99094051048952,0.36153706293706295,0.6993006993006993,9.706613304195805,0.5675006872727272,0.013986013986013986,0.4877058600137099
minmax,97.5750602027972,0.0,0.0,10.36350303146853,0.5671825266433566,0.006993006993006993,0.08265138304778047
topK_5,97.23507713986012,0.0,0.0,7.380256253846157,0.5705687791608393,0.0,0.9499732210532609
topK_30,97.9981297972028,0.3752422377622378,0.6993006993006993,9.171495139860141,0.5648089036083915,0.013986013986013986,0.7000060330875457
sigmoid,78.80182318321678,1.579099092167832,5.594405594405594,10.37548695804196,0.456592577534965,0.20279720279720279,0.001081369603087439
sigmoid_pos,78.68518211748251,1.5535572290209791,5.594405594405594,10.375488230769232,0.4564965822426574,0.1958041958041958,0.0005560884642585631
pos_thresh_75,96.17719256643356,0.0,0.0,2.1177003433566433,0.02363046447081119,0.027972027972027972,0.9989896727669859
