,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,49.940538355929114,0.0029397496552272732,21.59090909090909,5.3010723295454545,0.5838569044318181,0.5,0.2499968483751643
topK_30_pos,96.08151350000001,3.0890405227272724,3.409090909090909,10.091335193181818,0.5558642440909091,0.03409090909090909,0.6999910848103684
minmax_pos,90.54459618181819,1.5669367386363637,4.545454545454546,9.957932397727273,0.5898698921590909,0.07954545454545454,0.7887330353974339
topK_5_pos,96.02129011363635,2.6329218636363634,3.409090909090909,8.299783125000001,0.5125851100795454,0.03409090909090909,0.9499863635163408
pos_thresh_50,94.74593973863635,0.6818656818181817,1.1363636363636365,3.5733561556818176,0.053851008211293176,0.03409090909090909,0.9989949382229966
topK_50,96.82931095454545,1.9595910681818183,2.272727272727273,10.602144670454544,0.5735800279545454,0.022727272727272728,0.4999936967503285
pos_thresh_25,95.26708689772728,0.6759967727272728,3.409090909090909,6.229556717045455,0.26211618590965907,0.022727272727272728,0.9915143732024039
bin,96.79424738636364,1.9587044999999998,2.272727272727273,10.601946875,0.5731616036363637,0.022727272727272728,0.5000761964726551
minmax,68.95644936136364,9.150130753409092,15.909090909090908,11.2920489375,0.573091503409091,0.23863636363636365,0.037300683703397716
topK_5,96.02129011363635,2.6329218636363634,3.409090909090909,8.299783125000001,0.5125851100795454,0.03409090909090909,0.9499863635163408
topK_30,96.08151350000001,3.0890405227272724,3.409090909090909,10.091335193181818,0.5558642440909091,0.03409090909090909,0.6999910848103684
sigmoid,87.23553123863636,2.371715943181818,4.545454545454546,11.295279204545453,0.5184758834886364,0.07954545454545454,0.00013877326409739366
sigmoid_pos,87.53826573863635,2.282114,4.545454545454546,11.295279164772726,0.5164257800568182,0.07954545454545454,6.941120211632182e-05
pos_thresh_75,95.57799602272726,0.0,0.0,1.473860963636364,0.011975639366284091,0.011363636363636364,0.9973058889281208
