,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,38.20970039034157,0.8852889982718156,10.56910569105691,7.4532232845528466,0.6302461087913517,0.6666666666666666,0.38420651559396285
topK_30_pos,61.349776699495386,0.43833079278590786,7.046070460704607,7.931773975609755,0.36214869880809974,0.44715447154471544,0.6042396000515478
minmax_pos,69.4079102214081,0.4975714363143631,0.5420054200542005,9.36611299403794,0.44216357111947524,0.3794037940379404,0.38901168217576604
topK_5_pos,88.71880179299302,0.0006783825596205963,2.710027100271003,6.961430978048781,0.07736429201951985,0.13821138211382114,0.8922462600462899
pos_thresh_50,58.9447494766267,1.4773753624742547,4.065040650406504,8.65605130108401,0.37680839032152086,0.4796747967479675,0.5353866446285814
topK_50,48.48241395935076,2.269330260379404,4.336043360433604,9.684077882113822,0.534547435514135,0.5772357723577236,0.49912612490695013
pos_thresh_25,35.05671726020073,2.9000912342737126,12.466124661246612,7.53407149105691,0.6196299162624009,0.7127371273712737,0.3399493195318287
bin,22.318006892415763,2.0577223189100273,19.241192411924118,4.848208078319784,0.7436366078806493,0.8021680216802168,0.18591033168081286
minmax,65.37402958939946,0.5680760596205963,1.084010840108401,10.149080485094851,0.5238237949930841,0.41192411924119243,0.33663914119523153
topK_5,93.92213728932248,0.0,0.0,7.40246646883469,0.028273167387720594,0.0948509485094851,0.9488319988703758
topK_30,70.11310793132141,0.6662232539295393,2.168021680216802,9.175550430894308,0.2754496171748261,0.3712737127371274,0.6987747570287174
sigmoid,38.41195131384027,1.0542767425474255,2.168021680216802,10.373904491869919,0.5013851060904607,0.7127371273712737,0.027383133266749175
sigmoid_pos,37.90698532510198,1.3961968168021681,2.9810298102981028,9.839989291327914,0.5076188027666396,0.7127371273712737,0.0224023485029451
pos_thresh_75,83.31666087153658,0.23807850948509487,0.27100271002710025,7.925729375880758,0.16260754698053237,0.22764227642276422,0.7828780506587338
