,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,51.38854132156722,1.1656545285736988,15.068493150684931,7.263292191780822,0.7153682533165034,0.523972602739726,0.3742299430061439
topK_30_pos,75.12493514084082,0.002455569759931507,6.8493150684931505,7.98053512671233,0.4609287879576695,0.273972602739726,0.6081287064554467
minmax_pos,84.88485118273972,0.1265548115410959,1.0273972602739727,9.543570878424658,0.5563051388660205,0.20205479452054795,0.49089865884623585
topK_5_pos,92.71922080048631,0.00017562112842465756,1.36986301369863,7.145394173630137,0.10602265570766303,0.07876712328767123,0.9165225607226464
pos_thresh_50,74.95254181869555,0.6935565366438355,2.0547945205479454,9.023788000342465,0.49223976072917125,0.3047945205479452,0.6102675530975503
topK_50,65.95269568397944,2.386322591438356,4.109589041095891,9.684280046232876,0.6693019273702705,0.3904109589041096,0.4990282628864705
pos_thresh_25,49.974459914074494,2.2106999518828765,8.904109589041095,8.842859726027395,0.6503403684207054,0.5582191780821918,0.4366129170072197
bin,33.93573172952779,2.9418716267753426,14.383561643835616,6.966702340753424,0.7379959795865685,0.6986301369863014,0.3048612464569194
minmax,75.3407706400274,0.699128452739726,1.7123287671232876,10.18972335958904,0.7230022001691782,0.3116438356164384,0.3070025560176384
topK_5,95.46877264657535,0.031815044520547946,0.3424657534246575,7.399436563356166,0.09346658670766303,0.05136986301369863,0.9489890315057044
topK_30,84.61265615034247,0.15153439383561645,0.684931506849315,9.17460963869863,0.41989011361862844,0.1815068493150685,0.6990676283119349
sigmoid,58.49666821737329,0.366323147260274,1.0273972602739727,10.370762969178081,0.6203065548739727,0.565068493150685,0.04824347190853547
sigmoid_pos,55.59213895389041,0.7200761773972603,2.73972602739726,10.231650018835616,0.6283833040400685,0.5958904109589042,0.028094718037277235
pos_thresh_75,91.21089057979452,0.2964934452054795,0.684931506849315,8.177316196232876,0.26009002933845227,0.10273972602739725,0.8198248485630037
