,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,39.80952973475969,1.3704494470412842,22.56809338521401,5.802885042801556,0.6622987362817121,0.6264591439688716,0.2991019947764118
topK_30_pos,58.50873109792505,1.0278610526159533,16.731517509727627,6.640211568093385,0.5283034474501167,0.43190661478599224,0.5058733198680722
minmax_pos,84.67310998764592,1.0996390778210117,2.3346303501945527,8.680686038910505,0.4647089268967292,0.19066147859922178,0.481121862918154
topK_5_pos,83.34370915622945,0.001085449352140078,6.614785992217898,6.507790389883269,0.1923898424038489,0.1867704280155642,0.8344732015221122
pos_thresh_50,72.58128199686654,2.5226998586124516,7.392996108949417,7.84883316381323,0.40927535911404433,0.311284046692607,0.6182490037883505
topK_50,65.23525854074319,3.687360120622569,7.392996108949417,9.684215474708171,0.5919395338042412,0.38132295719844356,0.49906025217100636
pos_thresh_25,59.39303819753286,3.5064615264214005,12.062256809338521,7.168933660311285,0.5397113033457428,0.4280155642023346,0.4531865109045859
bin,42.8081835809922,3.826391125707782,18.67704280155642,5.706957585603113,0.6102222911205075,0.5953307392996109,0.29836105195157725
minmax,81.25870203377433,0.775302626459144,1.556420233463035,10.12594130544747,0.587185174517393,0.22178988326848248,0.3619789176919626
topK_5,93.73043064396887,0.09510797276264592,0.38910505836575876,7.400015662645915,0.12566534337180613,0.0933852140077821,0.9489589932467191
topK_30,79.60924373206225,1.7547087435797664,3.11284046692607,9.175166081712062,0.43254185578388327,0.22568093385214008,0.6988999050225121
sigmoid,62.060368825116726,2.113446474708171,5.058365758754864,10.374036924124514,0.5459999986239689,0.4591439688715953,0.02598884299979915
sigmoid_pos,60.08437861882879,2.7050909105058363,5.447470817120623,9.445995614785991,0.5567646599599222,0.47470817120622566,0.017818326157550253
pos_thresh_75,90.04772161042803,0.21665935019455254,0.7782101167315175,7.274280921011673,0.22471001818898018,0.13618677042801555,0.7908916490600507
