,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,28.938403725707335,5.791467282460704,13.279132791327914,9.463902807588076,0.8472736114089432,0.7696476964769647,0.4635299858077841
topK_30_pos,48.65653913985705,4.781647290243902,9.48509485094851,9.252499863143631,0.6321079308853341,0.5555555555555556,0.6739268629266032
minmax_pos,59.272476156421824,1.600055027913279,3.794037940379404,9.750866863143631,0.7723561523888889,0.46070460704607047,0.5432874646098935
topK_5_pos,72.47709772898916,0.8814494878048781,1.3550135501355014,7.881742261246613,0.1459289481469349,0.3116531165311653,0.912932311516409
pos_thresh_50,56.76482466817238,1.5885237582655827,2.710027100271003,8.818587523306233,0.49204750401786174,0.4905149051490515,0.7440191960378522
topK_50,29.388785965988212,6.45996886097561,13.821138211382113,9.727778092140921,0.845375947208401,0.7642276422764228,0.47629763877434744
pos_thresh_25,32.783005699676615,4.675121845257453,9.48509485094851,9.43202652791328,0.819008090298645,0.7317073170731707,0.5557522939773847
bin,6.189070794198027,12.68689684105854,28.726287262872628,9.547626863143632,0.920931449291599,0.9539295392953929,0.19535823494533153
minmax,54.714965040945785,2.325401690514905,4.607046070460704,10.07137906504065,0.805307434495935,0.5040650406504065,0.3943538943753267
topK_5,72.47709772898916,0.8814494878048781,1.3550135501355014,7.881742261246613,0.1459289481469349,0.3116531165311653,0.912932311516409
topK_30,48.65653913985705,4.781647290243902,9.48509485094851,9.252499863143631,0.6321079308853341,0.5555555555555556,0.6739268629266032
sigmoid,39.76818545957081,1.0350063235772358,2.168021680216802,10.374856287262872,0.49314223322336037,0.7046070460704607,0.014496933277890629
sigmoid_pos,39.867364682972436,1.0439510124661247,2.168021680216802,10.374909509485095,0.49221133639651765,0.7018970189701897,0.013297269257516958
pos_thresh_75,67.24404021735778,1.442575985907859,2.710027100271003,8.211671007588077,0.23005336888618091,0.36314363143631434,0.8587147079309556
