,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,30.0009557648887,12.516732161744521,22.602739726027398,9.163240375,0.8428811543815068,0.773972602739726,0.4476902448050786
topK_30_pos,52.483058257322256,10.738815593527397,16.78082191780822,9.25438746061644,0.7314228221708562,0.4965753424657534,0.6734478718044992
minmax_pos,69.96704274979453,5.409045833767124,8.219178082191782,9.631083155821917,0.7876334241568493,0.3356164383561644,0.6060456828058283
topK_5_pos,80.38603654537671,3.2269771232876714,4.794520547945205,7.871230891780822,0.2814591463058859,0.2465753424657534,0.9146247627245889
pos_thresh_50,65.77398931449828,8.768167565068493,11.301369863013699,8.668602899657534,0.5728148605426575,0.3972602739726027,0.7890518301084741
topK_50,31.175262647568832,14.325821049383562,23.63013698630137,9.729967131849316,0.84246161145,0.7636986301369864,0.4752279502052066
pos_thresh_25,41.97232246595241,12.775490728082191,18.15068493150685,9.271015853082194,0.7876413181164383,0.636986301369863,0.6305755245673238
bin,11.849815689993541,22.665871932702057,39.38356164383562,9.881718402397262,0.8687107641575342,0.8972602739726028,0.2841842584258113
minmax,61.22693130633562,7.448264025342465,10.95890410958904,10.085454051369862,0.8133623157866438,0.4623287671232877,0.38274194297259756
topK_5,80.38603654537671,3.2269771232876714,4.794520547945205,7.871230891780822,0.2814591463058859,0.2465753424657534,0.9146247627245889
topK_30,52.483058257322256,10.738815593527397,16.78082191780822,9.25438746061644,0.7314228221708562,0.4965753424657534,0.6734478718044992
sigmoid,54.309913417945204,2.0237242840068492,4.4520547945205475,10.37450324828767,0.633419744205646,0.6027397260273972,0.02050255262810175
sigmoid_pos,55.26029048952056,1.7094052260273973,3.4246575342465753,10.374711340753423,0.6319657195799657,0.5821917808219178,0.0169014430650193
pos_thresh_75,78.19864733602739,4.665240318493151,5.821917808219178,8.025772236643835,0.35141676188946236,0.2808219178082192,0.8884908533779308
