,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,38.90621382883677,7.073053586087549,19.455252918287936,8.949411252918289,0.7336621537354086,0.6303501945525292,0.4285861933416554
topK_30_pos,56.55125507584514,4.639601146146692,11.673151750972762,9.068014620622568,0.6364820856474709,0.4591439688715953,0.6473623290484481
minmax_pos,67.42555650031127,3.563773932684825,6.614785992217898,9.70911070233463,0.7021382847789883,0.3540856031128405,0.5485543823589728
topK_5_pos,80.7855596085603,1.2200029533073928,1.9455252918287937,7.958690538132296,0.3127254797910234,0.2140077821011673,0.9068525642898688
pos_thresh_50,60.70444685603114,5.058880454085603,8.560311284046692,8.854655413618676,0.5860135436011673,0.4085603112840467,0.7333528927383487
topK_50,41.948215055708175,7.883803587937743,17.509727626459146,9.74578268677043,0.7351136309338521,0.5992217898832685,0.466699768278706
pos_thresh_25,38.85436539618093,10.765773020311284,19.06614785992218,9.34131420544747,0.7255611715564202,0.6381322957198443,0.5442164424509123
bin,16.269742368425675,11.462849750933463,35.797665369649806,8.491799229571987,0.7815075890428016,0.8560311284046692,0.2081897347334828
minmax,64.74525977725291,4.9835225196108945,9.727626459143968,10.001412836575875,0.7122628793501946,0.39299610894941633,0.42547906700819405
topK_5,80.7855596085603,1.2200029533073928,1.9455252918287937,7.958690538132296,0.3127254797910234,0.2140077821011673,0.9068525642898688
topK_30,57.42615457647082,4.9901870070038905,10.894941634241246,9.284235116731518,0.6371259742466927,0.45136186770428016,0.6630422976244051
sigmoid,58.97365145741401,4.602184163424123,8.560311284046692,10.374553964980546,0.596783784255642,0.5252918287937743,0.01840442801559152
sigmoid_pos,59.01815456783268,4.584536836575875,8.171206225680933,10.374642651750973,0.5954017008385214,0.5214007782101168,0.016703598790706695
pos_thresh_75,72.86879534103112,2.768080646692607,5.447470817120623,8.360338398832686,0.4257495855466031,0.29961089494163423,0.8429813196180476
