,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,32.33032259543895,0.011396420381029811,17.073170731707318,3.174968563685637,0.945407156504065,0.6802168021680217,0.1639566018902016
topK_30_pos,98.37756662872629,0.0,0.0,9.171495075880758,0.9456715480487804,0.016260162601626018,0.7000060330875455
minmax_pos,94.16371142691058,0.0,0.0,9.036151417615175,0.7793113853304064,0.0921409214092141,0.7883125477723435
topK_5_pos,97.64088323577236,0.0,0.0,7.380256319512196,0.7729486705345122,0.024390243902439025,0.9499732210532612
pos_thresh_50,97.86177534688348,0.18832585365853657,0.27100271002710025,3.133156788075881,0.02916346583485393,0.018970189701897018,0.9988166655134826
topK_50,98.33942805420055,0.0,0.0,9.682342138211382,0.9466646988346883,0.02168021680216802,0.4999998851031767
pos_thresh_25,97.37937543631435,0.16965617073170733,0.27100271002710025,5.5113463428184275,0.2599183515381392,0.02168021680216802,0.9903835102025633
bin,98.35004718699186,0.0,0.0,9.679154635501355,0.9465794099728996,0.02168021680216802,0.5015719440955071
minmax,76.54031629106426,3.4102922628726287,4.065040650406504,10.371953359078592,0.8827667182073543,0.2791327913279133,0.0386660470083023
topK_5,97.64088323577236,0.0,0.0,7.380256319512196,0.7729486705345122,0.024390243902439025,0.9499732210532612
topK_30,98.37756662872629,0.0,0.0,9.171495075880758,0.9456715480487804,0.016260162601626018,0.7000060330875455
sigmoid,36.22532623885655,1.5597831609756097,3.252032520325203,10.375488314363146,0.4872096481507588,0.7317073170731707,0.00043844031684480485
sigmoid_pos,38.73013620664326,1.2700917073170732,2.710027100271003,10.37548875609756,0.4517542822326951,0.7100271002710027,0.0002197169411971922
pos_thresh_75,97.61002532140921,0.0,0.0,1.3240313891598916,0.005134994208096883,0.032520325203252036,0.9986868518467072
