,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,49.6170288926873,0.008682425155479451,19.52054794520548,4.907488434931507,0.8782346691095891,0.4965753424657534,0.2534245992988704
topK_30_pos,98.28096209931508,0.0,0.0,9.17149545547945,0.8774490969863014,0.003424657534246575,0.7000059262807204
minmax_pos,94.38873225650684,0.31337650684931506,0.3424657534246575,9.156395698630137,0.8456847778356165,0.07191780821917808,0.7718173356872936
topK_5_pos,97.32267003082191,0.0,0.0,7.380256288698631,0.7569299444421232,0.010273972602739725,0.9499732210532611
pos_thresh_50,97.8947015308219,0.2783343880136986,0.684931506849315,3.2655609729452055,0.10903365535117504,0.0136986301369863,0.9987383142269091
topK_50,98.3320774520548,0.0,0.0,9.682342047945205,0.8806977728082193,0.003424657534246575,0.49999988510317683
pos_thresh_25,98.04127001712328,0.5324925410958904,1.0273972602739727,5.706720520547945,0.40417792535096,0.00684931506849315,0.9888250023545782
bin,98.32720552054793,0.0,0.0,9.682355731164384,0.8806509409246577,0.003424657534246575,0.4999855729734312
minmax,80.53852086576528,3.9898853938356162,5.136986301369863,10.371653476027397,0.8535728655446918,0.2191780821917808,0.04160368664741027
topK_5,97.32267003082191,0.0,0.0,7.380256288698631,0.7569299444421232,0.010273972602739725,0.9499732210532611
topK_30,98.28096209931508,0.0,0.0,9.17149545547945,0.8774490969863014,0.003424657534246575,0.7000059262807204
sigmoid,49.209289467249995,2.5591109537671235,4.4520547945205475,10.375488150684934,0.6415588293896336,0.6575342465753424,0.0005520964436525609
sigmoid_pos,54.115134167212325,1.7848798969178084,3.767123287671233,10.375488616438357,0.598222387118024,0.613013698630137,0.00027621659843395704
pos_thresh_75,97.90881834246575,0.0,0.0,1.427762784589041,0.021816795534402092,0.017123287671232876,0.9987797253286547
