,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.48718926558264,0.0,0.0,9.682342084010841,0.9484049089972899,0.018970189701897018,0.4999998851031767
topK_30_pos,98.37525982113823,0.0,0.0,9.171495357723575,0.9425256191598916,0.016260162601626018,0.7000059485683234
minmax_pos,98.26622376151762,0.0,0.0,9.324414150406504,0.7567909460610295,0.018970189701897018,0.7307004725310444
topK_5_pos,97.55980106233064,0.0,0.0,7.38025630081301,0.6602577731289901,0.02710027100271003,0.9499732210532612
pos_thresh_50,97.99433201707316,0.0,0.0,4.42768254092141,0.056378647483852413,0.02168021680216802,0.9963796579938197
topK_50,98.48718926558264,0.0,0.0,9.682342084010841,0.9484049089972899,0.018970189701897018,0.4999998851031767
pos_thresh_25,98.07617671544716,0.0,0.0,7.102215374254744,0.524005837318915,0.018970189701897018,0.9559524870615261
bin,98.45022054471545,0.0,0.0,9.7041693401084,0.9482739306233062,0.016260162601626018,0.488945525409594
minmax,93.86309860723578,0.0,0.0,10.366717807588078,0.916186435292683,0.08401084010840108,0.06903826861276807
topK_5,97.55980106233064,0.0,0.0,7.38025630081301,0.6602577731289901,0.02710027100271003,0.9499732210532612
topK_30,98.37525982113823,0.0,0.0,9.171495357723575,0.9425256191598916,0.016260162601626018,0.7000059485683234
sigmoid,43.05911744601667,0.7653331002710028,1.897018970189702,10.375482906504065,0.402465636452645,0.6720867208672087,0.0015811984835572058
sigmoid_pos,42.97451378186851,0.7780676888888888,2.168021680216802,10.37548674390244,0.4045866506103401,0.6693766937669376,0.0008066230040358184
pos_thresh_75,98.04773502710026,0.0,0.0,1.9861465983739839,0.0016080502542412192,0.024390243902439025,0.9989848192889305
