,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.21300083561644,0.0,0.0,9.68234210958904,0.8810914582534247,0.003424657534246575,0.49999988510317683
topK_30_pos,98.15921737671232,0.0,0.0,9.171495126712328,0.8756162587671233,0.00684931506849315,0.7000060330875457
minmax_pos,98.06776655821918,0.0,0.0,9.339403590753424,0.8322435963082191,0.010273972602739725,0.7262394307757122
topK_5_pos,96.57182645890411,0.015678551369863014,0.3424657534246575,7.380256329794523,0.8128752498705479,0.023972602739726026,0.9499732210532611
pos_thresh_50,97.99047997602739,0.2517840616438356,0.684931506849315,4.153573531849315,0.10832927539430103,0.023972602739726026,0.9972064414326491
topK_50,98.21300083561644,0.0,0.0,9.68234210958904,0.8810914582534247,0.003424657534246575,0.49999988510317683
pos_thresh_25,96.43201608219177,0.07716364383561643,0.3424657534246575,6.957228925342466,0.631658672493636,0.03424657534246575,0.9623509117756087
bin,98.15820019520547,0.0,0.0,9.70605201541096,0.8809130833904109,0.00684931506849315,0.48798731482360747
minmax,97.21124401369863,0.1352504109589041,0.3424657534246575,10.366904606164384,0.8727264888013698,0.017123287671232876,0.06895818338809032
topK_5,96.57182645890411,0.015678551369863014,0.3424657534246575,7.380256329794523,0.8128752498705479,0.023972602739726026,0.9499732210532611
topK_30,98.15921737671232,0.0,0.0,9.171495126712328,0.8756162587671233,0.00684931506849315,0.7000060330875457
sigmoid,61.725116935205484,0.782635666780822,2.3972602739726026,10.375486780821918,0.5357192493282534,0.5171232876712328,0.0010760698856791262
sigmoid_pos,61.55058935034247,0.7939783013698629,2.3972602739726026,10.375488089041097,0.5379046222106438,0.5308219178082192,0.0005523810189739407
pos_thresh_75,97.88515624315067,0.0,0.0,1.7681296407534246,0.010353048659765822,0.0273972602739726,0.9988975283697122
