,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,98.22080816272188,0.0,0.0,9.682342053254438,0.8945847988165679,0.014792899408284023,0.4999998851031767
topK_30_pos,98.24675988757396,0.0,0.0,9.171495423076923,0.8923799386390532,0.014792899408284023,0.7000059408165604
minmax_pos,98.42009390532543,0.0,0.0,9.354890349112425,0.8664752337544379,0.01775147928994083,0.7222230082399149
topK_5_pos,97.74895259467456,0.0,0.0,7.380256295562132,0.8652873614748521,0.023668639053254437,0.949973221053261
pos_thresh_50,97.81705950414202,0.0,0.0,4.21827331183432,0.09430810326121918,0.014792899408284023,0.9970092719929767
topK_50,98.22080816272188,0.0,0.0,9.682342053254438,0.8945847988165679,0.014792899408284023,0.4999998851031767
pos_thresh_25,98.40515696449705,0.0,0.0,7.075683315976331,0.7699690321778581,0.0029585798816568047,0.9582849152746328
bin,98.22095781952663,0.0,0.0,9.706862257396448,0.8946325718639053,0.014792899408284023,0.48757236059386416
minmax,97.33600332840237,0.0,0.0,10.367242809171598,0.8875573861242604,0.03550295857988166,0.06720446124884281
topK_5,97.74895259467456,0.0,0.0,7.380256295562132,0.8652873614748521,0.023668639053254437,0.949973221053261
topK_30,98.24675988757396,0.0,0.0,9.171495423076923,0.8923799386390532,0.014792899408284023,0.7000059408165604
sigmoid,58.57752450166272,1.4478370443786983,2.366863905325444,10.375487204142011,0.5126893183790592,0.5414201183431953,0.0010042948353578154
sigmoid_pos,58.36803209982041,1.4614513372781066,2.366863905325444,10.375488343195267,0.5144382725871923,0.5414201183431953,0.0005168524074102331
pos_thresh_75,97.59888387869825,0.0,0.0,1.8420550816568046,0.0024083483668669243,0.01775147928994083,0.9989515347680864
