,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,97.71768429571983,0.18372772762645911,0.7782101167315175,9.682342140077823,0.7923463858249027,0.027237354085603113,0.49999988510317667
topK_30_pos,97.75471019455253,0.1641148910505837,0.7782101167315175,9.171495066147857,0.7939765672762645,0.027237354085603113,0.7000060330875456
minmax_pos,97.10154907276264,0.20792259922178988,0.38910505836575876,9.355287585603115,0.7795899519066147,0.019455252918287938,0.7222812632910943
topK_5_pos,97.16543045136187,0.22199434630350193,0.38910505836575876,7.380256311673154,0.7688732532673153,0.01556420233463035,0.9499732210532612
pos_thresh_50,96.80486187548637,0.3159561517509728,0.7782101167315175,4.346145317120622,0.14857599693825915,0.04669260700389105,0.9965686384577581
topK_50,97.71768429571983,0.18372772762645911,0.7782101167315175,9.682342140077823,0.7923463858249027,0.027237354085603113,0.49999988510317667
pos_thresh_25,97.2277784396887,0.0,0.0,7.204663933463035,0.7415003122694942,0.011673151750972763,0.9534253457962696
bin,97.74570022178989,0.18526866147859922,0.7782101167315175,9.703828682879378,0.7923924552918288,0.027237354085603113,0.4891285152275235
minmax,97.00774201167314,0.0,0.0,10.364206894941637,0.7858469467821012,0.023346303501945526,0.08048503173123521
topK_5,97.16543045136187,0.22199434630350193,0.38910505836575876,7.380256311673154,0.7688732532673153,0.01556420233463035,0.9499732210532612
topK_30,97.75471019455253,0.1641148910505837,0.7782101167315175,9.171495066147857,0.7939765672762645,0.027237354085603113,0.7000060330875456
sigmoid,63.62396264083269,2.2272134824902725,4.669260700389105,10.3754870233463,0.4925451650190662,0.4785992217898833,0.0010461430578117326
sigmoid_pos,63.16567576431907,2.218712494163424,4.669260700389105,10.37548826848249,0.4920324841916342,0.48638132295719844,0.0005351143620726382
pos_thresh_75,97.35754542023348,0.0,0.0,1.7692265552529183,0.009160044813027119,0.038910505836575876,0.9988850880605066
