,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,31.810478243400283,0.22732049537455126,21.794871794871796,5.029263674679487,0.7776191259383014,0.6987179487179487,0.2371560569759948
topK_30_pos,51.58682787985973,0.27971722948480765,14.102564102564102,6.6952806346153855,0.5949744855615128,0.5192307692307693,0.4643967218512493
minmax_pos,90.44814637948718,0.0,0.0,9.652681750320513,0.3372151190221091,0.10897435897435898,0.6184373939646246
topK_5_pos,88.4530870582829,0.09046325154794872,4.166666666666667,7.634904583333334,0.17158331501880997,0.12179487179487179,0.8738572146129422
pos_thresh_50,88.98027504214744,0.26658554487179487,0.32051282051282054,8.772010233653846,0.28135360449628877,0.1282051282051282,0.7773096762527744
topK_50,56.91773215996923,1.185983179807692,3.2051282051282053,10.602242110576924,0.621107674179027,0.49038461538461536,0.49994532559372334
pos_thresh_25,71.119038044425,0.7861538685897436,2.2435897435897436,9.441786528205128,0.4275023755163481,0.3141025641025641,0.6095503236609741
bin,49.886688478288455,1.0197369918339745,7.051282051282051,8.809827156730767,0.5104663553355533,0.5608974358974359,0.45205171637505426
minmax,73.6058954113077,0.059732400320512816,0.9615384615384616,11.132300738782051,0.5964274619388782,0.3076923076923077,0.30240997249589296
topK_5,96.20176786858974,0.089941625,0.32051282051282054,8.299984673076922,0.1129113876625901,0.041666666666666664,0.9499762434151873
topK_30,74.86915624249038,0.4979749487179487,0.9615384615384616,10.091421775641026,0.43842186795337174,0.3141025641025641,0.6999650265610637
sigmoid,77.74713794662628,0.35055766666666666,0.9615384615384616,11.294846245192307,0.6696394906842019,0.22115384615384615,0.015087693108068515
sigmoid_pos,76.81823691603013,0.399059655448718,1.6025641025641026,10.75204472275641,0.6812445333198653,0.2403846153846154,0.008155014172395973
pos_thresh_75,95.35120913794873,0.0,0.0,7.564959618910256,0.09873544468304689,0.060897435897435896,0.9006789930927754
