,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,52.76537547460881,8.791464621725963,16.025641025641026,10.275112870192308,0.8198730653589743,0.48717948717948717,0.477504970696056
topK_30_pos,64.30146844999359,5.330596016025641,9.935897435897436,10.11948894551282,0.7360127385947965,0.3782051282051282,0.6913511013221092
minmax_pos,82.9215269809359,0.16183077884615385,0.32051282051282054,10.539677094551282,0.6631732661396794,0.1955128205128205,0.618075643033898
topK_5_pos,89.95469674294871,0.047541451923076926,0.32051282051282054,8.527599459935898,0.2409620366010587,0.15384615384615385,0.9365386406137114
pos_thresh_50,82.83909608652114,0.3450077628205128,0.6410256410256411,9.122823176923076,0.4398917690359166,0.21153846153846154,0.865941750139128
topK_50,54.28702921378173,8.993967681858974,14.743589743589743,10.615327354166666,0.8194091867692307,0.47115384615384615,0.4933272428664591
pos_thresh_25,64.84659795363142,2.8992775842948717,6.410256410256411,9.999663334935898,0.7180675550634615,0.391025641025641,0.6945109963838656
bin,27.300728530952536,14.748848190064104,26.28205128205128,10.93777137980769,0.8525874097115386,0.7403846153846154,0.26334037990637854
minmax,75.55817752733333,0.8628086794871797,1.9230769230769231,11.092807697115385,0.7234574629070513,0.2692307692307692,0.323994295559666
topK_5,89.95469674294871,0.047541451923076926,0.32051282051282054,8.527599459935898,0.2409620366010587,0.15384615384615385,0.9365386406137114
topK_30,64.30146844999359,5.330596016025641,9.935897435897436,10.11948894551282,0.7360127385947965,0.3782051282051282,0.6913511013221092
sigmoid,75.86893159456538,0.5894053237179488,1.9230769230769231,11.295089070512821,0.6835646980933878,0.2564102564102564,0.008006510878339892
sigmoid_pos,75.81909004562723,0.5885496602564102,1.9230769230769231,11.29511367147436,0.6845258213298686,0.25961538461538464,0.006875642815402954
pos_thresh_75,90.26179329679486,0.0,0.0,8.309397855128205,0.20948936471461024,0.14102564102564102,0.941130859129405
