,AD,AG,AI,COMP,FF,FidIn,SPS
topK_50_pos,47.93481435610485,0.006038697950737179,21.153846153846153,5.199128618589744,0.8664033191025641,0.5192307692307693,0.24518921667564192
topK_30_pos,96.7690766923077,0.019933364423076923,0.32051282051282054,10.091335125,0.8380523845929486,0.028846153846153848,0.6999910848103684
minmax_pos,95.60569749679487,0.03842920512820513,0.32051282051282054,10.009087251602564,0.8514534970048075,0.035256410256410256,0.781554714556869
topK_5_pos,96.80510040320512,0.0,0.0,8.299783051282052,0.6475904598180321,0.028846153846153848,0.9499863635163407
pos_thresh_50,96.93564885256409,0.1331651762820513,0.32051282051282054,3.7064534621794873,0.024769406953432212,0.028846153846153848,0.9990131722755253
topK_50,96.26747351698717,0.0,0.0,10.602144621794872,0.8530155694551282,0.028846153846153848,0.49999369675032856
pos_thresh_25,95.84817470448718,0.03739276442307692,0.6410256410256411,6.354968501282051,0.206891138111966,0.04487179487179487,0.9910088773405386
bin,96.31515740320513,0.0,0.0,10.60143872596154,0.852802325948718,0.028846153846153848,0.5003297447886182
minmax,65.41830078143494,5.478854150641027,8.333333333333334,11.291996314102565,0.8488265418044872,0.3717948717948718,0.03837439476007337
topK_5,96.80510040320512,0.0,0.0,8.299783051282052,0.6475904598180321,0.028846153846153848,0.9499863635163407
topK_30,96.7690766923077,0.019933364423076923,0.32051282051282054,10.091335125,0.8380523845929486,0.028846153846153848,0.6999910848103684
sigmoid,77.09596509025737,0.4054142567307692,1.9230769230769231,11.295279342948717,0.6787230875632468,0.23717948717948717,0.00014274997844959545
sigmoid_pos,77.31634444154903,0.3186334775641026,1.2820512820512822,11.295279299679484,0.6766497337162997,0.23076923076923078,7.14795965677264e-05
pos_thresh_75,97.74471899679487,0.0,0.0,1.6678290057692307,0.0051646564602739736,0.009615384615384616,0.9978640389578317
